Author Name,Author Affiliation,Country,Article No.,h-index,Title,Year,Author Number,Key Words,Citation,Source,Abstract,Type
Tobias Höllerer,"University of California, Santa Barbara",USA,42,,ARbis Pictus: A Study of Vocabulary Learning with Augmented Reality,2018,6.0,"Language learning,
education,
augmented reality,
HCl,
experimentation",93.0,IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS,"We conducted a fundamental user study to assess potential benefits of AR technology for immersive vocabulary learning. With the idea that AR systems will soon be able to label real-world objects in any language in real time, our within-subjects (N=52) lab-based study explores the effect of such an AR vocabulary prompter on participants learning nouns in an unfamiliar foreign language, compared to a traditional flashcard-based learning approach. Our results show that the immersive AR experience of learning with virtual labels on real-world objects is both more effective and more enjoyable for the majority of participants, compared to flashcards. Specifically, when participants learned through augmented reality, they scored significantly better on both same-day and 4-day delayed productive recall tests than when they learned using the flashcard method. We believe this result is an indication of the strong potential for language learning in augmented reality, particularly because of the improvement shown in sustained recall compared to the traditional approach.",Journal
Dorothy Chun,"University of California, Santa Barbara",USA,42,,ARbis Pictus: A Study of Vocabulary Learning with Augmented Reality,2018,6.0,"Language learning,
education,
augmented reality,
HCl,
experimentation",93.0,IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS,"We conducted a fundamental user study to assess potential benefits of AR technology for immersive vocabulary learning. With the idea that AR systems will soon be able to label real-world objects in any language in real time, our within-subjects (N=52) lab-based study explores the effect of such an AR vocabulary prompter on participants learning nouns in an unfamiliar foreign language, compared to a traditional flashcard-based learning approach. Our results show that the immersive AR experience of learning with virtual labels on real-world objects is both more effective and more enjoyable for the majority of participants, compared to flashcards. Specifically, when participants learned through augmented reality, they scored significantly better on both same-day and 4-day delayed productive recall tests than when they learned using the flashcard method. We believe this result is an indication of the strong potential for language learning in augmented reality, particularly because of the improvement shown in sustained recall compared to the traditional approach.",Journal
John O'donovan,"University of California, Santa Barbara",USA,42,,ARbis Pictus: A Study of Vocabulary Learning with Augmented Reality,2018,6.0,"Language learning,
education,
augmented reality,
HCl,
experimentation",93.0,IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS,"We conducted a fundamental user study to assess potential benefits of AR technology for immersive vocabulary learning. With the idea that AR systems will soon be able to label real-world objects in any language in real time, our within-subjects (N=52) lab-based study explores the effect of such an AR vocabulary prompter on participants learning nouns in an unfamiliar foreign language, compared to a traditional flashcard-based learning approach. Our results show that the immersive AR experience of learning with virtual labels on real-world objects is both more effective and more enjoyable for the majority of participants, compared to flashcards. Specifically, when participants learned through augmented reality, they scored significantly better on both same-day and 4-day delayed productive recall tests than when they learned using the flashcard method. We believe this result is an indication of the strong potential for language learning in augmented reality, particularly because of the improvement shown in sustained recall compared to the traditional approach.",Journal
Zhe Liu,Henan Economy and Trade Vocational College,China,43,,Influence of Students' Entrepreneurial Psychological Capital on Entrepreneurial Exploratory Learning under the Background of Extended Reality (XR),2022,1.0,"extended reality (XR), students’ entrepreneurial psychological
capital, entrepreneurial exploratory learning",1.0,INTERNATIONAL JOURNAL OF EMERGING TECHNOLOGIES IN LEARNING,"Students can carry out exploratory learning of entrepreneurial knowledge by reducing costs and improving efficiency. At the same time, this technology can bring new immersive experience to students and provide them with the opportunity to become the designer and creator of entrepreneurial knowledge. Based on the theory of emotion and social cognition, this study puts forward the research model of students' entrepreneurial psychological capital on entrepreneurial exploratory learning. XR technology also tests whether students' entrepreneurial psychological capital plays an intermediary role in promoting entrepreneurial exploratory learning. The results show that Cronbach alpha The coefficient is 0.844, the kmo value is 0.787, and the significance is 0.000, indicating that the designed questionnaire has good reliability and validity. XR technology plays a complete intermediary role in the positive promotion of students' entrepreneurial psychological capital society to students' entrepreneurial exploratory learning. This study is of great significance for understanding the important value of XR technology in exploratory learning, enriching the application research of psychological capital in the field of entrepreneurship, and innovating the teaching mode of students' Entrepreneurship Education from the perspective of psychological capital.",Journal
Walid M. Khalilia,Al-Istiqlal University,Palestine,44,5.0,IMMERSIVE VIRTUAL REALITY (VR) FOR LEARNING IN ARCHITECTURE,2022,,,,EGA-REVISTA DE EXPRESION GRAFICA ARQUITECTONICA,"The use of virtual reality (VR) in project design can be a useful tool to facilitate collaborative remote work, decision-making, and spatial comprehension. Likewise, it can be a good instrument in the teaching-learning process of architecture. Here we analyze a collective remote work experience where architecture students used 3D modeling and immersive VR in a two-week activity led by professors. We seek to understand the impact of these technologies on the creative, learning, and representational processes of the students through surveys, interviews, and observations. The results show that time for training and experimentation is essential, that teaching teams require greater acceptance of change, that the final formats must be consistent with the tools used, and that there is a great difference in the perception of these technologies between men and women.",Journal
Miroslav Gombár,University of Presov,Slovakia,44,14.0,IMMERSIVE VIRTUAL REALITY (VR) FOR LEARNING IN ARCHITECTURE,2022,,,,EGA-REVISTA DE EXPRESION GRAFICA ARQUITECTONICA,"The use of virtual reality (VR) in project design can be a useful tool to facilitate collaborative remote work, decision-making, and spatial comprehension. Likewise, it can be a good instrument in the teaching-learning process of architecture. Here we analyze a collective remote work experience where architecture students used 3D modeling and immersive VR in a two-week activity led by professors. We seek to understand the impact of these technologies on the creative, learning, and representational processes of the students through surveys, interviews, and observations. The results show that time for training and experimentation is essential, that teaching teams require greater acceptance of change, that the final formats must be consistent with the tools used, and that there is a great difference in the perception of these technologies between men and women.",Journal
Zuzana Palková,Slovak University of Agriculture in Nitra,Czech Republic,44,10.0,IMMERSIVE VIRTUAL REALITY (VR) FOR LEARNING IN ARCHITECTURE,2022,,,,EGA-REVISTA DE EXPRESION GRAFICA ARQUITECTONICA,"The use of virtual reality (VR) in project design can be a useful tool to facilitate collaborative remote work, decision-making, and spatial comprehension. Likewise, it can be a good instrument in the teaching-learning process of architecture. Here we analyze a collective remote work experience where architecture students used 3D modeling and immersive VR in a two-week activity led by professors. We seek to understand the impact of these technologies on the creative, learning, and representational processes of the students through surveys, interviews, and observations. The results show that time for training and experimentation is essential, that teaching teams require greater acceptance of change, that the final formats must be consistent with the tools used, and that there is a great difference in the perception of these technologies between men and women.",Journal
Michal Palko,Slovak University of Agriculture in Nitra,Slovakia,44,,IMMERSIVE VIRTUAL REALITY (VR) FOR LEARNING IN ARCHITECTURE,2022,,,,EGA-REVISTA DE EXPRESION GRAFICA ARQUITECTONICA,"The use of virtual reality (VR) in project design can be a useful tool to facilitate collaborative remote work, decision-making, and spatial comprehension. Likewise, it can be a good instrument in the teaching-learning process of architecture. Here we analyze a collective remote work experience where architecture students used 3D modeling and immersive VR in a two-week activity led by professors. We seek to understand the impact of these technologies on the creative, learning, and representational processes of the students through surveys, interviews, and observations. The results show that time for training and experimentation is essential, that teaching teams require greater acceptance of change, that the final formats must be consistent with the tools used, and that there is a great difference in the perception of these technologies between men and women.",Journal
Jan Valiček,Slovak University of Agriculture in Nitra,Czech Republic,44,,IMMERSIVE VIRTUAL REALITY (VR) FOR LEARNING IN ARCHITECTURE,2022,,,,EGA-REVISTA DE EXPRESION GRAFICA ARQUITECTONICA,"The use of virtual reality (VR) in project design can be a useful tool to facilitate collaborative remote work, decision-making, and spatial comprehension. Likewise, it can be a good instrument in the teaching-learning process of architecture. Here we analyze a collective remote work experience where architecture students used 3D modeling and immersive VR in a two-week activity led by professors. We seek to understand the impact of these technologies on the creative, learning, and representational processes of the students through surveys, interviews, and observations. The results show that time for training and experimentation is essential, that teaching teams require greater acceptance of change, that the final formats must be consistent with the tools used, and that there is a great difference in the perception of these technologies between men and women.",Journal
Marta Harničárová,Slovak University of Agriculture in Nitra,Czech Republic,44,,IMMERSIVE VIRTUAL REALITY (VR) FOR LEARNING IN ARCHITECTURE,2022,,,,EGA-REVISTA DE EXPRESION GRAFICA ARQUITECTONICA,"The use of virtual reality (VR) in project design can be a useful tool to facilitate collaborative remote work, decision-making, and spatial comprehension. Likewise, it can be a good instrument in the teaching-learning process of architecture. Here we analyze a collective remote work experience where architecture students used 3D modeling and immersive VR in a two-week activity led by professors. We seek to understand the impact of these technologies on the creative, learning, and representational processes of the students through surveys, interviews, and observations. The results show that time for training and experimentation is essential, that teaching teams require greater acceptance of change, that the final formats must be consistent with the tools used, and that there is a great difference in the perception of these technologies between men and women.",Journal
Nadezhda MaksimenkoNadezhda Maksimenko,"ITMO University
",Russia,45,,Using Virtual Reality as Support to the Learning Process of Forensic Scenarios,2022,6.0,"Forensic science
,
learning strategies
,
problem solving
,
virtual reality",0.0,IEEE ACCESS,"Virtual Reality (VR) represents a computer technology to create a simulated three-dimensional (3D) environment. Compared to the traditional user interfaces, VR places the user inside an experience. This research aimed to implement and examine modern learning strategies and activities with the VR for teaching crime scene investigation. The target group of this piloting study consisted of all students who enrolled in a crime scene investigation course at Al-Istiqlal University during the Spring semester of 2021. An online item-based questionnaire has been developed. It is used to assess students' perceptions towards using cooperative, discussion, field trip and problem-solving learning strategies and activities implemented with the VR technology. This study showed that VR is a helpful tool to practice modern learning strategies and skills in learning forensic science and crime scene investigation. We can conclude that using VR technology for educational purposes supports the learning process.",Journal
Anzhelika Okolzina,"ITMO University
",Russia,45,,Using Virtual Reality as Support to the Learning Process of Forensic Scenarios,2022,6.0,"Forensic science
,
learning strategies
,
problem solving
,
virtual reality",0.0,IEEE ACCESS,"Virtual Reality (VR) represents a computer technology to create a simulated three-dimensional (3D) environment. Compared to the traditional user interfaces, VR places the user inside an experience. This research aimed to implement and examine modern learning strategies and activities with the VR for teaching crime scene investigation. The target group of this piloting study consisted of all students who enrolled in a crime scene investigation course at Al-Istiqlal University during the Spring semester of 2021. An online item-based questionnaire has been developed. It is used to assess students' perceptions towards using cooperative, discussion, field trip and problem-solving learning strategies and activities implemented with the VR technology. This study showed that VR is a helpful tool to practice modern learning strategies and skills in learning forensic science and crime scene investigation. We can conclude that using VR technology for educational purposes supports the learning process.",Journal
Anna Vlasova,"ITMO University
",Russia,45,,Using Virtual Reality as Support to the Learning Process of Forensic Scenarios,2022,6.0,"Forensic science
,
learning strategies
,
problem solving
,
virtual reality",0.0,IEEE ACCESS,"Virtual Reality (VR) represents a computer technology to create a simulated three-dimensional (3D) environment. Compared to the traditional user interfaces, VR places the user inside an experience. This research aimed to implement and examine modern learning strategies and activities with the VR for teaching crime scene investigation. The target group of this piloting study consisted of all students who enrolled in a crime scene investigation course at Al-Istiqlal University during the Spring semester of 2021. An online item-based questionnaire has been developed. It is used to assess students' perceptions towards using cooperative, discussion, field trip and problem-solving learning strategies and activities implemented with the VR technology. This study showed that VR is a helpful tool to practice modern learning strategies and skills in learning forensic science and crime scene investigation. We can conclude that using VR technology for educational purposes supports the learning process.",Journal
Chantal Tracey,"ITMO University
",Russia,45,4.0,Using Virtual Reality as Support to the Learning Process of Forensic Scenarios,2022,6.0,"Forensic science
,
learning strategies
,
problem solving
,
virtual reality",0.0,IEEE ACCESS,"Virtual Reality (VR) represents a computer technology to create a simulated three-dimensional (3D) environment. Compared to the traditional user interfaces, VR places the user inside an experience. This research aimed to implement and examine modern learning strategies and activities with the VR for teaching crime scene investigation. The target group of this piloting study consisted of all students who enrolled in a crime scene investigation course at Al-Istiqlal University during the Spring semester of 2021. An online item-based questionnaire has been developed. It is used to assess students' perceptions towards using cooperative, discussion, field trip and problem-solving learning strategies and activities implemented with the VR technology. This study showed that VR is a helpful tool to practice modern learning strategies and skills in learning forensic science and crime scene investigation. We can conclude that using VR technology for educational purposes supports the learning process.",Journal
Mikhail Kurushkin,"ITMO University
",Russia,45,,Using Virtual Reality as Support to the Learning Process of Forensic Scenarios,2022,6.0,"Forensic science
,
learning strategies
,
problem solving
,
virtual reality",0.0,IEEE ACCESS,"Virtual Reality (VR) represents a computer technology to create a simulated three-dimensional (3D) environment. Compared to the traditional user interfaces, VR places the user inside an experience. This research aimed to implement and examine modern learning strategies and activities with the VR for teaching crime scene investigation. The target group of this piloting study consisted of all students who enrolled in a crime scene investigation course at Al-Istiqlal University during the Spring semester of 2021. An online item-based questionnaire has been developed. It is used to assess students' perceptions towards using cooperative, discussion, field trip and problem-solving learning strategies and activities implemented with the VR technology. This study showed that VR is a helpful tool to practice modern learning strategies and skills in learning forensic science and crime scene investigation. We can conclude that using VR technology for educational purposes supports the learning process.",Journal
Shuxia YangShuxia Yang,Henan University ,China,46,,Introducing Atomic Structure to First-Year Undergraduate Chemistry Students with an Immersive Virtual Reality Experience,2021,5.0,First-Year Undergraduate/General Physical Chemistry Computer-Based Learning Atomic Properties/Structure Periodicity/Periodic Table,9.0,JOURNAL OF CHEMICAL EDUCATION,The present technology report is aimed at demonstrating how the implementation of VR chemistry simulations of atomic structure enhances learning among students. MEL Chemistry VR lessons were incorporated into the classroom for 43 first-year undergraduate ITMO University students. The visualization techniques provided the learners with two important opportunities: (1) connecting the macroscopic and tangible component of chemistry with the submicroscopic component (the real world and the world of molecules) and (2) connecting the submicroscopic component of chemistry with the representational one (atomic structure and orbital diagrams). The results show that implementation of the VR experience into the atomic structure laboratory enhances the learning experience of the students.,Journal
Bing Mei,Henan University ,China,46,,Introducing Atomic Structure to First-Year Undergraduate Chemistry Students with an Immersive Virtual Reality Experience,2021,5.0,First-Year Undergraduate/General Physical Chemistry Computer-Based Learning Atomic Properties/Structure Periodicity/Periodic Table,9.0,JOURNAL OF CHEMICAL EDUCATION,The present technology report is aimed at demonstrating how the implementation of VR chemistry simulations of atomic structure enhances learning among students. MEL Chemistry VR lessons were incorporated into the classroom for 43 first-year undergraduate ITMO University students. The visualization techniques provided the learners with two important opportunities: (1) connecting the macroscopic and tangible component of chemistry with the submicroscopic component (the real world and the world of molecules) and (2) connecting the submicroscopic component of chemistry with the representational one (atomic structure and orbital diagrams). The results show that implementation of the VR experience into the atomic structure laboratory enhances the learning experience of the students.,Journal
Xiaoyu Yue,University of Aukland,New Zealand,46,10.0,Introducing Atomic Structure to First-Year Undergraduate Chemistry Students with an Immersive Virtual Reality Experience,2021,5.0,First-Year Undergraduate/General Physical Chemistry Computer-Based Learning Atomic Properties/Structure Periodicity/Periodic Table,9.0,JOURNAL OF CHEMICAL EDUCATION,The present technology report is aimed at demonstrating how the implementation of VR chemistry simulations of atomic structure enhances learning among students. MEL Chemistry VR lessons were incorporated into the classroom for 43 first-year undergraduate ITMO University students. The visualization techniques provided the learners with two important opportunities: (1) connecting the macroscopic and tangible component of chemistry with the submicroscopic component (the real world and the world of molecules) and (2) connecting the submicroscopic component of chemistry with the representational one (atomic structure and orbital diagrams). The results show that implementation of the VR experience into the atomic structure laboratory enhances the learning experience of the students.,Journal
Kuo-Liang,National Tsing Hua University,Taiwan,47,,Mobile Augmented Reality Assisted Chemical Education: Insights from Elements 4D,2018,3.0,Elementary/Middle School Science Public Understanding/Outreach Computer-Based Learning Internet/Web-Based Learning Computational Chemistry,76.0,JOURNAL OF CHEMICAL EDUCATION,"This technology report aimed to explore preservice chemistry teachers' perception of mobile augmented reality (MAR) assisted chemical education. To this end, 15 participants were recruited from a Chinese university. They were provided access to an MAR chemistry learning app, Elements 4D, on their own mobile computing devices, and were instructed to complete some self-paced, hands-on activities. Data were collected through classroom observation and semistructured interviews. Subsequent content analyses revealed that participants generally had positive attitude toward the immersive chemistry learning experience. Meanwhile, challenges pertinent to the content knowledge and user experience were also discovered. The findings point out possible directions for more effective uptake of MAR assisted chemical education, and accentuate the importance of pedagogical thinking in developing similar educational apps.",Journal
Yao-Hui Liu,National Tsing Hua University,Taiwan,47,,Mobile Augmented Reality Assisted Chemical Education: Insights from Elements 4D,2018,3.0,Elementary/Middle School Science Public Understanding/Outreach Computer-Based Learning Internet/Web-Based Learning Computational Chemistry,76.0,JOURNAL OF CHEMICAL EDUCATION,"This technology report aimed to explore preservice chemistry teachers' perception of mobile augmented reality (MAR) assisted chemical education. To this end, 15 participants were recruited from a Chinese university. They were provided access to an MAR chemistry learning app, Elements 4D, on their own mobile computing devices, and were instructed to complete some self-paced, hands-on activities. Data were collected through classroom observation and semistructured interviews. Subsequent content analyses revealed that participants generally had positive attitude toward the immersive chemistry learning experience. Meanwhile, challenges pertinent to the content knowledge and user experience were also discovered. The findings point out possible directions for more effective uptake of MAR assisted chemical education, and accentuate the importance of pedagogical thinking in developing similar educational apps.",Journal
Wernhuar Tarng,National Tsing Hua University,Taiwan,47,,Mobile Augmented Reality Assisted Chemical Education: Insights from Elements 4D,2018,3.0,Elementary/Middle School Science Public Understanding/Outreach Computer-Based Learning Internet/Web-Based Learning Computational Chemistry,76.0,JOURNAL OF CHEMICAL EDUCATION,"This technology report aimed to explore preservice chemistry teachers' perception of mobile augmented reality (MAR) assisted chemical education. To this end, 15 participants were recruited from a Chinese university. They were provided access to an MAR chemistry learning app, Elements 4D, on their own mobile computing devices, and were instructed to complete some self-paced, hands-on activities. Data were collected through classroom observation and semistructured interviews. Subsequent content analyses revealed that participants generally had positive attitude toward the immersive chemistry learning experience. Meanwhile, challenges pertinent to the content knowledge and user experience were also discovered. The findings point out possible directions for more effective uptake of MAR assisted chemical education, and accentuate the importance of pedagogical thinking in developing similar educational apps.",Journal
Martin Krajčovič,University of Žilina,Slovakia,48,18.0,Development of a Virtual Ecological Environment for Learning the Taipei Tree Frog,2021,3.0,environmental education; Taipei tree frog; virtual reality (VR); head-mounted display (HMD); game-based learning; situated learning,9.0,SUSTAINABILITY,"The learning objectives of environmental education emphasize investigation in real life to enhance students' skills and experiences in solving practical problems. This study used the virtual reality (VR) technology to develop a virtual ecological environment for learning about the Taipei tree frog, supported by situated learning and game-based learning design to enhance students' learning interest and motivation. Users can wear the head-mounted display (HMD) to explore the virtual environment for learning the Taipei tree frog's ecological behavior, such as foraging and mating as well as its habitats and predators. A teaching experiment was conducted to investigate students' learning effectiveness and the senses of presence and anxiety after using the virtual ecological environment. The experimental group (wearing the HMD) contained 40 students, the control group (using the desktop VR) contained 40 students, and both groups were used as samples to learn about the Taipei tree frog. The results indicated that using HMD VR and desktop VR could both enhance learning achievements, but the learning effectiveness of the former was significantly higher than that of the latter. The levels of anxiety for both groups were about the same, but the level of presence for the experimental group was higher than that of the control group because the HMD VR provided a more immersive experience than the desktop VR. The virtual ecological environment can save the time and effort of travelling to the natural habitat for observing the Taipei tree frog, and the design of role-playing game (RPG) can enhance learners' interest and motivation. Therefore, it is a useful tool for promoting environmental education.",Journal
Gabriela Gabajová,University of Žilina,Slovakia,48,6.0,Development of a Virtual Ecological Environment for Learning the Taipei Tree Frog,2021,3.0,environmental education; Taipei tree frog; virtual reality (VR); head-mounted display (HMD); game-based learning; situated learning,9.0,SUSTAINABILITY,"The learning objectives of environmental education emphasize investigation in real life to enhance students' skills and experiences in solving practical problems. This study used the virtual reality (VR) technology to develop a virtual ecological environment for learning about the Taipei tree frog, supported by situated learning and game-based learning design to enhance students' learning interest and motivation. Users can wear the head-mounted display (HMD) to explore the virtual environment for learning the Taipei tree frog's ecological behavior, such as foraging and mating as well as its habitats and predators. A teaching experiment was conducted to investigate students' learning effectiveness and the senses of presence and anxiety after using the virtual ecological environment. The experimental group (wearing the HMD) contained 40 students, the control group (using the desktop VR) contained 40 students, and both groups were used as samples to learn about the Taipei tree frog. The results indicated that using HMD VR and desktop VR could both enhance learning achievements, but the learning effectiveness of the former was significantly higher than that of the latter. The levels of anxiety for both groups were about the same, but the level of presence for the experimental group was higher than that of the control group because the HMD VR provided a more immersive experience than the desktop VR. The virtual ecological environment can save the time and effort of travelling to the natural habitat for observing the Taipei tree frog, and the design of role-playing game (RPG) can enhance learners' interest and motivation. Therefore, it is a useful tool for promoting environmental education.",Journal
Marián Matys,University of Žilina,Slovakia,48,,Development of a Virtual Ecological Environment for Learning the Taipei Tree Frog,2021,3.0,environmental education; Taipei tree frog; virtual reality (VR); head-mounted display (HMD); game-based learning; situated learning,9.0,SUSTAINABILITY,"The learning objectives of environmental education emphasize investigation in real life to enhance students' skills and experiences in solving practical problems. This study used the virtual reality (VR) technology to develop a virtual ecological environment for learning about the Taipei tree frog, supported by situated learning and game-based learning design to enhance students' learning interest and motivation. Users can wear the head-mounted display (HMD) to explore the virtual environment for learning the Taipei tree frog's ecological behavior, such as foraging and mating as well as its habitats and predators. A teaching experiment was conducted to investigate students' learning effectiveness and the senses of presence and anxiety after using the virtual ecological environment. The experimental group (wearing the HMD) contained 40 students, the control group (using the desktop VR) contained 40 students, and both groups were used as samples to learn about the Taipei tree frog. The results indicated that using HMD VR and desktop VR could both enhance learning achievements, but the learning effectiveness of the former was significantly higher than that of the latter. The levels of anxiety for both groups were about the same, but the level of presence for the experimental group was higher than that of the control group because the HMD VR provided a more immersive experience than the desktop VR. The virtual ecological environment can save the time and effort of travelling to the natural habitat for observing the Taipei tree frog, and the design of role-playing game (RPG) can enhance learners' interest and motivation. Therefore, it is a useful tool for promoting environmental education.",Journal
Beáta Furmannová,University of Žilina,Slovakia,48,,Development of a Virtual Ecological Environment for Learning the Taipei Tree Frog,2021,3.0,environmental education; Taipei tree frog; virtual reality (VR); head-mounted display (HMD); game-based learning; situated learning,9.0,SUSTAINABILITY,"The learning objectives of environmental education emphasize investigation in real life to enhance students' skills and experiences in solving practical problems. This study used the virtual reality (VR) technology to develop a virtual ecological environment for learning about the Taipei tree frog, supported by situated learning and game-based learning design to enhance students' learning interest and motivation. Users can wear the head-mounted display (HMD) to explore the virtual environment for learning the Taipei tree frog's ecological behavior, such as foraging and mating as well as its habitats and predators. A teaching experiment was conducted to investigate students' learning effectiveness and the senses of presence and anxiety after using the virtual ecological environment. The experimental group (wearing the HMD) contained 40 students, the control group (using the desktop VR) contained 40 students, and both groups were used as samples to learn about the Taipei tree frog. The results indicated that using HMD VR and desktop VR could both enhance learning achievements, but the learning effectiveness of the former was significantly higher than that of the latter. The levels of anxiety for both groups were about the same, but the level of presence for the experimental group was higher than that of the control group because the HMD VR provided a more immersive experience than the desktop VR. The virtual ecological environment can save the time and effort of travelling to the natural habitat for observing the Taipei tree frog, and the design of role-playing game (RPG) can enhance learners' interest and motivation. Therefore, it is a useful tool for promoting environmental education.",Journal
Ľuboslav Dulina,University of Žilina,Slovakia,48,,Development of a Virtual Ecological Environment for Learning the Taipei Tree Frog,2021,3.0,environmental education; Taipei tree frog; virtual reality (VR); head-mounted display (HMD); game-based learning; situated learning,9.0,SUSTAINABILITY,"The learning objectives of environmental education emphasize investigation in real life to enhance students' skills and experiences in solving practical problems. This study used the virtual reality (VR) technology to develop a virtual ecological environment for learning about the Taipei tree frog, supported by situated learning and game-based learning design to enhance students' learning interest and motivation. Users can wear the head-mounted display (HMD) to explore the virtual environment for learning the Taipei tree frog's ecological behavior, such as foraging and mating as well as its habitats and predators. A teaching experiment was conducted to investigate students' learning effectiveness and the senses of presence and anxiety after using the virtual ecological environment. The experimental group (wearing the HMD) contained 40 students, the control group (using the desktop VR) contained 40 students, and both groups were used as samples to learn about the Taipei tree frog. The results indicated that using HMD VR and desktop VR could both enhance learning achievements, but the learning effectiveness of the former was significantly higher than that of the latter. The levels of anxiety for both groups were about the same, but the level of presence for the experimental group was higher than that of the control group because the HMD VR provided a more immersive experience than the desktop VR. The virtual ecological environment can save the time and effort of travelling to the natural habitat for observing the Taipei tree frog, and the design of role-playing game (RPG) can enhance learners' interest and motivation. Therefore, it is a useful tool for promoting environmental education.",Journal
Lia Ma,East China Jiaotong University,China,49,,Virtual Reality as an Immersive Teaching Aid to Enhance the Connection between Education and Practice,2022,5.0,emerging technologies; virtual reality; education; visualization; knowledge transfer,0.0,SUSTAINABILITY,"Maximizing knowledge transfer is one of the main factors of modern education. It is important to raise the probability that students can successfully apply acquired knowledge into practice. This article deals with virtual reality (VR) as an alternative method to provide students with a more immersive approach to semester assignments and their completion. In addition to information on paper, they are provided with an immersive virtual environment that interactively visualizes problems. To test this approach, a case study took place at the Department of Industrial Engineering, Faculty of Mechanical Engineering at the University of Zilina. Students were given a standard assignment for workplace analysis and optimization. However, in addition to papers containing all the necessary information about the workplace and its processes (a drilling workplace), the students could also put on a VR headset and walk through a virtual copy of the assigned workplace. Instead of relying on a 2D layout and a few photos, the students observed every detail of the workplace from any angle. Moreover, the immersive virtual workplace was interactive, and the students could interact with machine tools and replicate the real manufacturing process. With this new addition, the students completed the assignment and then filled out a short questionnaire questioning their satisfaction with the chosen approach. With positive feedback, the implementation of VR into the teaching process could further motivate students and make the transfer of knowledge into their future jobs easier.",Journal
Laura E. Reevesa,Solent University Southhampton,United Kingdom,50,,An Immersive Context Teaching Method for College English Based on Artificial Intelligence and Machine Learning in Virtual Reality Technology,2021,1.0,,18.0,MOBILE INFORMATION SYSTEMS,"With the development of language research and language teaching, people realize that grammatical competence is an important part of communicative competence. In foreign language teaching, grammar teaching is not only necessary but also the main way to achieve the goal of communicative competence. This article mainly studies the virtual reality technology college English immersive context teaching method based on artificial intelligence and machine learning. The purpose is to improve students' English learning ability. Through the comparative teaching experiment of two classes of freshmen in a university, the experimental class conducted VR technology-based immersive virtual context teaching from the perspective of constructivism, while the control class adopted common multimedia equipment and traditional teaching methods. In the classroom, teachers occupy most of the time, students only passively receive a lot of information from teachers, they have little chance to participate in the exchange of information and express ideas in the target language, and most of the time they are ""immersed"" in the Chinese environment. The overall English level was also better than that of the control class, with an average score of 2.8 points higher. This shows that college English immersive context teaching combining constructivism theory and VR technology can indeed improve students' English level.",Journal
Edward Boltonb,Solent University Southhampton,United Kingdom,50,,An Immersive Context Teaching Method for College English Based on Artificial Intelligence and Machine Learning in Virtual Reality Technology,2021,1.0,,18.0,MOBILE INFORMATION SYSTEMS,"With the development of language research and language teaching, people realize that grammatical competence is an important part of communicative competence. In foreign language teaching, grammar teaching is not only necessary but also the main way to achieve the goal of communicative competence. This article mainly studies the virtual reality technology college English immersive context teaching method based on artificial intelligence and machine learning. The purpose is to improve students' English learning ability. Through the comparative teaching experiment of two classes of freshmen in a university, the experimental class conducted VR technology-based immersive virtual context teaching from the perspective of constructivism, while the control class adopted common multimedia equipment and traditional teaching methods. In the classroom, teachers occupy most of the time, students only passively receive a lot of information from teachers, they have little chance to participate in the exchange of information and express ideas in the target language, and most of the time they are ""immersed"" in the Chinese environment. The overall English level was also better than that of the control class, with an average score of 2.8 points higher. This shows that college English immersive context teaching combining constructivism theory and VR technology can indeed improve students' English level.",Journal
Matthew Bulpitta,Solent University Southhampton,United Kingdom,50,,An Immersive Context Teaching Method for College English Based on Artificial Intelligence and Machine Learning in Virtual Reality Technology,2021,1.0,,18.0,MOBILE INFORMATION SYSTEMS,"With the development of language research and language teaching, people realize that grammatical competence is an important part of communicative competence. In foreign language teaching, grammar teaching is not only necessary but also the main way to achieve the goal of communicative competence. This article mainly studies the virtual reality technology college English immersive context teaching method based on artificial intelligence and machine learning. The purpose is to improve students' English learning ability. Through the comparative teaching experiment of two classes of freshmen in a university, the experimental class conducted VR technology-based immersive virtual context teaching from the perspective of constructivism, while the control class adopted common multimedia equipment and traditional teaching methods. In the classroom, teachers occupy most of the time, students only passively receive a lot of information from teachers, they have little chance to participate in the exchange of information and express ideas in the target language, and most of the time they are ""immersed"" in the Chinese environment. The overall English level was also better than that of the control class, with an average score of 2.8 points higher. This shows that college English immersive context teaching combining constructivism theory and VR technology can indeed improve students' English level.",Journal
